period,n,groups,duration,rate,rounds,stages,turn,exchange,pause,prechoice,autoadvance,init,autostart,w,r,delta,maxt,L,states,instructions,practice,deliver,task,task_detail
1,14,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2,2,7,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",6,FALSE,TRUE,FALSE,"[0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]",TRUE,40,2.1,0.9,72,1,"[1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1]",Instructions.pdf,FALSE,FALSE,flip,2
2,14,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2,2,7,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",6,FALSE,TRUE,FALSE,"[0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]",TRUE,40,2.1,0.9,72,1,"[1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0]",Instructions.pdf,FALSE,FALSE,flip,2
3,14,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2,2,14,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",6,FALSE,TRUE,FALSE,"[0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]",TRUE,40,2.1,0.9,72,1,"[1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1]",Instructions.pdf,FALSE,FALSE,flip,2
4,14,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2,2,5,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",6,FALSE,TRUE,FALSE,"[0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]",TRUE,40,2.1,0.9,72,1,"[0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0]",Instructions.pdf,FALSE,FALSE,flip,3
5,14,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2,2,11,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",6,FALSE,TRUE,FALSE,"[0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]",TRUE,40,2.1,0.9,72,1,"[0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1]",Instructions.pdf,FALSE,FALSE,flip,3
6,14,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2,2,23,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",6,FALSE,TRUE,FALSE,"[0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]",TRUE,40,2.1,0.9,72,1,"[1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0]",Instructions.pdf,FALSE,FALSE,flip,2
7,14,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2,2,7,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",6,FALSE,TRUE,FALSE,"[0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]",TRUE,40,2.1,0.9,72,1,"[0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0]",Instructions.pdf,FALSE,FALSE,flip,2
8,14,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2,2,4,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",6,FALSE,TRUE,FALSE,"[0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]",TRUE,40,2.1,0.9,72,1,"[1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1]",Instructions.pdf,FALSE,FALSE,flip,3
9,14,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2,2,9,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",6,FALSE,TRUE,FALSE,"[0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]",TRUE,40,2.1,0.9,72,1,"[1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0]",Instructions.pdf,FALSE,FALSE,flip,3
10,14,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",5,2,12,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",6,FALSE,TRUE,FALSE,"[0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]",TRUE,40,2.1,0.9,72,1,"[1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0]",TB_Instructions.pdf,FALSE,TRUE,monty,
